F_x,M_z,RPM_starboard,RPM_port
-0.1,-0.5,657.5,-801.0
0.0,-0.5,660.0,-801.0
0.1,-0.5,690.0,-801.0
0.2,-0.5,783.0,-801.0
0.3,-0.5,915.0,-801.0
0.4,-0.5,1075.5,-748.5
0.5,-0.5,1177.5,-345.0
-0.2,-0.4,581.5,-801.0
-0.1,-0.4,585.0,-801.0
0.0,-0.4,614.0,-753.0
0.1,-0.4,650.0,-748.5
0.2,-0.4,692.0,-662.0
0.3,-0.4,782.5,-457.0
0.4,-0.4,846.5,0.0
0.5,-0.4,1076.0,591.0
0.6,-0.4,1176.0,791.5
-0.3,-0.3,195.5,-801.0
-0.2,-0.3,358.0,-704.5
-0.1,-0.3,449.5,-616.0
0.0,-0.3,480.0,-590.0
0.1,-0.3,500.0,-552.5
0.2,-0.3,565.0,-435.0
0.3,-0.3,689.0,0.0
0.4,-0.3,782.5,379.0
0.5,-0.3,976.0,725.0
0.6,-0.3,1177.5,961.0
-0.4,-0.2,-565.0,-801.0
-0.3,-0.2,-435.0,-705.0
-0.2,-0.2,0.0,-539.0
-0.1,-0.2,278.0,-415.0
0.0,-0.2,319.0,384.0
0.1,-0.2,345.0,-337.5
0.2,-0.2,442.5,0.0
0.3,-0.2,565.0,358.0
0.4,-0.2,704.0,535.0
0.5,-0.2,904.5,792.5
0.6,-0.2,1177.5,1080.0
-0.4,-0.1,-750.0,-800.0
-0.3,-0.1,-554.0,-615.0
-0.2,-0.1,-338.0,-412.5
-0.1,-0.1,0.0,-264.0
0.0,-0.1,150.0,-185.0
0.1,-0.1,215.0,0.0
0.2,-0.1,348.0,277.5
0.3,-0.1,500.0,450.0
0.4,-0.1,648.5,585.0
0.5,-0.1,856.5,841.5
0.6,-0.1,1180.0,1175.0
-0.5,0.0,-803.0,-803.0
-0.4,0.0,-752.5,-752.5
-0.3,0.0,-592.5,-592.5
-0.2,0.0,-380.0,-380.0
-0.1,0.0,-185.0,-185.0
0.0,0.0,0.0,0.0
0.1,0.0,149.5,149.5
0.2,0.0,319.0,319.0
0.3,0.0,482.5,482.5
0.4,0.0,617.0,617.0
0.5,0.0,846.5,846.5
0.6,0.0,1182.5,1182.5
-0.4,0.1,-800.0,-750.0
-0.3,0.1,-615.0,-554.0
-0.2,0.1,-412.5,-338.0
-0.1,0.1,-264.0,0.0
0.0,0.1,-185.0,150.0
0.1,0.1,0.0,215.0
0.2,0.1,277.5,348.0
0.3,0.1,450.0,500.0
0.4,0.1,585.0,648.5
0.5,0.1,841.5,856.5
0.6,0.1,1175.0,1180.0
-0.4,0.2,-801.0,-565.0
-0.3,0.2,-705.0,-435.0
-0.2,0.2,-539.0,0.0
-0.1,0.2,-415.0,278.0
0.0,0.2,-387.0,315.5
0.1,0.2,-337.5,345.0
0.2,0.2,0.0,442.5
0.3,0.2,358.0,565.0
0.4,0.2,535.0,704.0
0.5,0.2,792.5,904.5
0.6,0.2,1080.0,1177.5
-0.3,0.3,-801.0,195.5
-0.2,0.3,-704.5,358.0
-0.1,0.3,-616.0,449.5
0.0,0.3,-592.5,480.0
0.1,0.3,-552.5,500.0
0.2,0.3,-435.0,565.0
0.3,0.3,0.0,689.0
0.4,0.3,379.0,782.5
0.5,0.3,725.0,976.0
0.6,0.3,961.0,1177.5
-0.2,0.4,-801.0,581.5
-0.1,0.4,-801.0,585.0
0.0,0.4,-753.0,614.0
0.1,0.4,-748.5,650.0
0.2,0.4,-662.0,692.0
0.3,0.4,-457.0,782.5
0.4,0.4,0.0,846.5
0.5,0.4,591.0,1076.0
0.6,0.4,791.5,1176.0
-0.1,0.5,-801.0,657.5
0.0,0.5,-801.0,660.0
0.1,0.5,-801.0,690.0
0.2,0.5,-801.0,783.0
0.3,0.5,-801.0,915.0
0.4,0.5,-748.5,1075.5
0.5,0.5,-345.0,1177.5
